number,kss,pupil,Diahyoujunn,Pupil_LowFreq,eeg,hr,eda,SCR,SCL_Ansei
1,6,4.828,0.132817924,,,909,6.731628311,0.392705411,-1.230710404
2,6,4.783,0.054156945,,,909,6.740455639,0.392944559,-1.211527821
3,6,4.719,-0.057716448,,,909,6.747552067,0.390912611,-1.196106641
4,6,4.628,-0.216786429,,,909,6.758306205,0.385522932,-1.172736925
5,6,4.574,-0.311179604,,,909,6.763724086,0.381464238,-1.160963381
6,6,4.518,-0.409068823,,,909,6.772750663,0.374627275,-1.141347813
7,6,4.488,-0.461509476,,,909,6.774558215,0.373156421,-1.137419838
8,6,4.48,-0.47549365,,,909,6.781804842,0.366282904,-1.121672263
9,6,4.461,-0.508706063,,,909,6.789075606,0.357716261,-1.105872234
10,6,4.481,-0.473745628,,,991,6.796382438,0.34875813,-1.089993828
11,6,4.459,-0.512202107,,,991,6.805597049,0.338036016,-1.069969645
12,6,4.466,-0.499965955,,,991,6.813002105,0.328853666,-1.053877788
13,6,4.482,-0.471997606,,,991,6.82044355,0.319485883,-1.037706854
14,6,4.474,-0.485981781,,,991,6.827843357,0.307788757,-1.021626404
15,6,4.468,-0.496469911,,,991,6.83702814,0.289860489,-1.001667041
16,6,4.481,-0.473745628,,,991,6.84436689,0.274215115,-0.985719273
17,6,4.493,-0.452769367,,,991,6.851668148,0.256345299,-0.969852979
18,6,4.569,-0.319919713,,,991,6.858986074,0.234422661,-0.953950463
19,6,4.574,-0.311179604,,,991,6.866303316,0.20881269,-0.938049436
20,6,4.579,-0.302439495,,,991,6.875398816,0.171786805,-0.918284091
21,6,4.614,-0.241258734,,,991,6.882669805,0.139104828,-0.902483576
22,6,4.696,-0.097920949,,,991,6.889992261,0.108438131,-0.886571216
23,6,4.713,-0.068204579,,,991,6.897341056,0.077810158,-0.870601618
24,6,4.739,-0.022756013,,,991,6.906543901,0.036918737,-0.850603005
25,6,4.803,0.08911738,,,991,6.913906821,0.003319161,-0.834602713
26,6,4.837,0.14855012,,,991,6.921235223,0.031821128,-0.818677433
